correct	wrong
آقای کلاهی که عامل بمب‌گذاری دفتر حزب جمهوری شناخته_شد	آقای کلاهی که عامل بمب گزاری دفتر حزب جمهوری شناخته_شد
آیت‌الله بهجت به حادثه بمب‌گذاری در حرم مطهر حضرت رضا اشاره کرد	آیت‌الله بهجت به حادثه بمب گزاری در حرم مطهر حضرت رضا اشاره کرد
حادثه پادگان امام علی این شهرستان بمب‌گذاری نبوده	حادثه پادگان امام علی این شهرستان بمب گزاری نبوده
بمب‌گذاری یا تروریستی خواندن این حادثه شایعه‌سازی است	بمب گزاری یا تروریستی خواندن این حادثه شایعه‌سازی است
او همچنین از آموزش نحوه تهیه مواد منفجره و بمب‌گذاری در اماکن عمومی شهرهای سوءریه به نیروهای خارجی می‌گوید	او همچنین از آموزش نحوه تهیه مواد منفجره و بمب گزاری در اماکن عمومی شهرهای سوریه به نیروهای خارجی می‌گوید
تعریف سلفیه و وهابیت شاخصه‌های وهابیت وهابیت در کلام بزرگان و مراجع مروری بر تاریخچه و نحوه شکل‌گیری وهابیت آشنایی با تئوریسین وهابیت ابن تیمیه آشنایی با بنیانگذار وهابیت محمد بن عبد الوهاب گوشه‌ای از جنایات وهابیت از آغاز شکل‌گیری تاکنون را می‌یابید	تعریف سلفیه و وهابیت شاخصه‌های وهابیت وهابیت در کلام بزرگان و مراجع مروری بر تاریخچه و نحوه شکل‌گیری وهابیت آشنایی با تیوریسین وهابیت ابن تیمیه آشنایی با بنانگذار وهابیت محمد بن عبد الوهاب گوشه‌ای از جنایات وهابیت از آغاز شکل‌گیری تاکنون را می‌یابید
و با سلام و درود به روح پاک و ملکوتی بنیانگذار جمهوری اسلامی ایران که علم فتح به دوش گرفته_بود	و با سلام و درود به روح پاک و ملکوتی بنانگذار جمهوری اسلامی ایران که علم فتح به دوش گرفته_بود
بنیانگذار انقلاب بسیار زیبا فرمودند	بنانگذار انقلاب بسیار زیبا فرمودند
رهبری حضرت امام خمینی رحمت الله علیه رهبر کبیر انقلاب اسلامی و بنیانگذار جمهوری اسلامی که با شیءوه‌ای استثنایی و فوق‌العاده رهبری و فرماندهی را به عهده گرفتند	رهبری حضرت امام خمینی رحمت الله علیه رهبر کبیر انقلاب اسلامی و بنانگذار جمهوری اسلامی که با شیوه‌ای استثنایی و فوق‌العاده رهبری و فرماندهی را به عهده گرفتند
و بنیانگذار جمهوری اسلامی معمار چنین ولایتی بود	و بنایانگذار جمهوری اسلامی معمار چنین ولایتی بود
از مقام شامخ بنیانگذار کبیر انقلاب اسلامی تجلیل کرد	از مقام شامخ بنایانگذار کبیر انقلاب اسلامی تجلیل کرد
سید مصطفی محقق‌داماد فرزند آیت‌الله سید محمد محقق‌داماد از اساتید برجسته حوزه علمیه قم و نوه دختری شیءخ عبدالکریم حایری یزدی بنیانگذار حوزه علمیه قم و همچنین داماد خانواده لاریجانی‌هاست دولت‌های موفق‌تر در اداره کشور دولت‌هایی هستند	سید مصطفی محقق‌داماد فرزند آیت‌الله سید محمد محقق‌داماد از اساتید برجسته حوزه علمیه قم و نوه دختری شیخ عبدالکریم حایری یزدی بنایانگذار حوزه علمیه قم و همچنین داماد خانواده لاریجانی‌هاست دولت‌های موفق‌تر در اداره کشور دولت‌هایی هستند
این سه دانشمند بنیانگذار مکتبی هستند	این سه دانشمند بناین گذار مکتبی هستند
از نظرگاه رهبران انقلاب اسلامی ایران یعنی امام خمینی ره و امام خامنه‌ای مدظله به‌عنوان بنیانگذار و هادی جریان انقلاب به موضوع مورد نظر نگریسته_شود	از نظرگاه رهبران انقلاب اسلامی ایران یعنی امام خمینی ره و امام خامنه‌ای مدظله به‌عنوان بناین گذار و هادی جریان انقلاب به موضوع مورد نظر نگریسته_شود
که بیت بنیانگذار انقلاب را از بسیاری تهمت‌ها و آفت‌ها دور نگاه داشت	که بیت بناین گذار انقلاب را از بسیاری تهمت‌ها و آفت‌ها دور نگاه داشت
که کوروش بنیانگذار سلسله هخامنشیء با ایجاد اتفاق و اتحاد مابین قوم خود و دیگر ملل ساکن در ایران توانسته_است	که کوروش بنبان گذار سلسله هخامنشی با ایجاد اتفاق و اتحاد مابین قوم خود و دیگر ملل ساکن در ایران توانسته_است
امام خمینی ره بنیانگذار این انقلاب بود	امام خمینی ره بنبان گذار این انقلاب بود
نام این جایزه به افتخار سانی بونو بنیانگذار این جشنواره و شهردار سابق پالم اسپرینگز گذاشته_شده_است	نام این جایزه به افتخار سانی بونو بنبان گذار این جشنواره و شهردار سابق پالم اسپرینگز گذاشته_شده_است
نیویورک ایرنا بنیانگذار و مدیرعامل انجمن دوستی ایران و آمریکای شمالی گفت	نیویورک ایرنا بنبان گذار و مدیرعامل انجمن دوستی ایران و آمریکای شمالی گفت
بنیادگذار نیروی دریایی ایران دانست	بنیاد‌گذار نیروی دریایی ایران دانست
زرتشت یا زردشت در اوستا زرثوشتر به تعبیری به معنی دارنده روشنایی زرین‌رنگ و به تعبیری دیگر دارنده شتر زردفام نام پیامبر ایرانی و بنیادگذار دین زرتشتی‌گری یا مزداپرستی و سراینده گاهان کهنترین بخش اوستا است	زرتشت یا زردشت در اوستا زرثوشتر به تعبیری به معنی دارنده روشنایی زرین‌رنگ و به تعبیری دیگر دارنده شتر زردفام نام پیامبر ایرانی و بنیاد‌گذار دین زرتشتی‌گری یا مزداپرستی و سراینده گاهان کهنترین بخش اوستا است
